tick,population,speed,vision,size,hungry,fertility
16939,116,1.195530865826045,79.00595516948152,12.12324286702285,32.57551275811384,69.5788169654737
16940,116,1.194969996915105,78.876011872087,12.10882572477649,32.552915233670944,69.44604396704658
16941,115,1.1951275725296875,78.99916484862945,12.098647733551807,32.53801982177608,69.32070387050494
16942,114,1.1944530834713447,78.89295166356962,12.097490021426546,32.521763873168155,69.18513690690963
16943,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16944,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16945,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16946,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16947,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16948,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16949,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16950,113,1.1951973634017339,78.82812633112889,12.098172700390625,32.53965479767469,69.22475211299324
16951,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16952,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16953,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16954,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16955,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16956,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16957,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16958,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16959,112,1.1952112131032517,78.89219997969192,12.103631071648966,32.49978848334904,69.15965739530385
16960,111,1.1945392661941174,78.78210712526901,12.107357481058372,32.46309135372122,69.03479744589853
16961,111,1.1945392661941174,78.78210712526901,12.107357481058372,32.46309135372122,69.03479744589853
16962,110,1.1954193337147645,78.71335465629595,12.111676689202968,32.42672731384213,69.0749820690562
16963,110,1.1954193337147645,78.71335465629595,12.111676689202968,32.42672731384213,69.0749820690562
