tick,population,speed,vision,size,hungry,fertility
9076,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9077,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9078,101,1.018854745,78.2502437,12.51400545,31.23075793,85.03151156
9079,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9080,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9081,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9082,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9083,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9084,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9085,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9086,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9087,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9088,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9089,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9090,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9091,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9092,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9093,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9094,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9095,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9096,102,1.018459129,78.32933035,12.52744227,31.2481794,85.0416542
9097,101,1.018002422,78.38952238,12.53908901,31.2491548,84.94862901
9098,101,1.018002422,78.38952238,12.53908901,31.2491548,84.94862901
9099,99,1.018302272,78.36910968,12.54354744,31.23515934,84.93981476
9100,99,1.018302272,78.36910968,12.54354744,31.23515934,84.93981476
9101,99,1.018302272,78.36910968,12.54354744,31.23515934,84.93981476
9102,99,1.018302272,78.36910968,12.54354744,31.23515934,84.93981476
9103,99,1.018302272,78.36910968,12.54354744,31.23515934,84.93981476
9104,99,1.018302272,78.36910968,12.54354744,31.23515934,84.93981476
9105,98,1.0187995,78.42081245,12.5486242,31.23556399,84.89983238
9106,98,1.0187995,78.42081245,12.5486242,31.23556399,84.89983238
9107,98,1.0187995,78.42081245,12.5486242,31.23556399,84.89983238
9108,98,1.0187995,78.42081245,12.5486242,31.23556399,84.89983238
9109,98,1.0187995,78.42081245,12.5486242,31.23556399,84.89983238
9110,98,1.0187995,78.42081245,12.5486242,31.23556399,84.89983238
9111,99,1.01791151,78.29270806,12.55237988,31.23604307,84.84875814
9112,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9113,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9114,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9115,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9116,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9117,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9118,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9119,98,1.018078935,78.25772426,12.55231271,31.26234157,84.74908189
9120,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9121,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9122,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9123,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9124,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9125,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9126,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9127,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9128,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9129,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9130,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9131,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9132,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9133,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9134,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9135,98,1.018713583,78.14519599,12.53426709,31.24875556,84.78656724
9136,99,1.018606271,78.04932141,12.52545926,31.24069342,84.79778911
9137,99,1.018606271,78.04932141,12.52545926,31.24069342,84.79778911
9138,99,1.018606271,78.04932141,12.52545926,31.24069342,84.79778911
9139,99,1.018606271,78.04932141,12.52545926,31.24069342,84.79778911
9140,99,1.018606271,78.04932141,12.52545926,31.24069342,84.79778911
9141,99,1.018606271,78.04932141,12.52545926,31.24069342,84.79778911
9142,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9143,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9144,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9145,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9146,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9147,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9148,98,1.018003507,78.05878257,12.52194437,31.2447126,84.75016647
9149,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9150,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9151,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9152,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9153,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9154,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9155,97,1.017327988,78.07464693,12.51927871,31.24137287,84.84643548
9156,98,1.017733058,78.13415399,12.5049085,31.2030215,84.82031929
9157,98,1.017733058,78.13415399,12.5049085,31.2030215,84.82031929
9158,98,1.017733058,78.13415399,12.5049085,31.2030215,84.82031929
9159,98,1.017733058,78.13415399,12.5049085,31.2030215,84.82031929
9160,98,1.017733058,78.13415399,12.5049085,31.2030215,84.82031929
9161,99,1.017116156,78.06477086,12.48489104,31.18288152,84.80072978
9162,99,1.017116156,78.06477086,12.48489104,31.18288152,84.80072978
9163,99,1.017116156,78.06477086,12.48489104,31.18288152,84.80072978
9164,99,1.017116156,78.06477086,12.48489104,31.18288152,84.80072978
9165,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9166,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9167,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9168,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9169,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9170,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9171,98,1.016715426,77.99605015,12.4856442,31.20440364,84.88544234
9172,97,1.01712556,78.01632904,12.47272079,31.20904018,84.87011234
9173,97,1.01712556,78.01632904,12.47272079,31.20904018,84.87011234
9174,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9175,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9176,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9177,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9178,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9179,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9180,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9181,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9182,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9183,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9184,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9185,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9186,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9187,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9188,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9189,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9190,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9191,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9192,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9193,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9194,96,1.017455019,77.9820775,12.45797864,31.20516201,84.85576285
9195,97,1.016535043,77.98410897,12.47029415,31.23221285,84.82214553
9196,97,1.016535043,77.98410897,12.47029415,31.23221285,84.82214553
9197,97,1.016535043,77.98410897,12.47029415,31.23221285,84.82214553
9198,97,1.016535043,77.98410897,12.47029415,31.23221285,84.82214553
9199,97,1.016535043,77.98410897,12.47029415,31.23221285,84.82214553
9200,97,1.016535043,77.98410897,12.47029415,31.23221285,84.82214553
9201,98,1.015576833,77.87782005,12.46323822,31.24386713,84.81238057
9202,98,1.015576833,77.87782005,12.46323822,31.24386713,84.81238057
9203,98,1.015576833,77.87782005,12.46323822,31.24386713,84.81238057
9204,98,1.015576833,77.87782005,12.46323822,31.24386713,84.81238057
